Server,MessageSize,Messages,AverageBytesPerSec,AverageMsgsPerSec
10.0.0.13,8,500,7550319.259584348,943789.4
10.0.0.13,8,500,276285.5030948,34535.4
10.0.0.13,8,500,128954.03973739999,16118.8
10.0.0.13,8,500,92314.3778274,11538.85
10.0.0.13,8,500,54149.59204248,6768.279999999999
10.0.0.13,8,500,172091.93831806668,21511
10.0.0.13,8,500,108874.22423729999,13608.75
10.0.0.13,8,500,57936.939943440004,7241.639999999999
10.0.0.13,8,500,50496.394083733336,6311.5666666666675
10.0.0.13,4,500,140821.67351379996,35205
10.0.0.13,4,500,69868.52589379999,17466.6
10.0.0.13,4,500,44895.32354906666,11223.266666666666
10.0.0.13,4,500,33675.3827699,8418.25
10.0.0.13,4,500,162890.80566210003,40722.2
10.0.0.13,4,500,88563.44617813334,22140.333333333336
10.0.0.13,4,500,55941.01709944999,13984.8
10.0.0.13,4,500,38551.82008456001,9637.36
10.0.0.13,4,500,156957.25844246667,39238.933333333334
10.0.0.13,4,500,92368.1946778,23091.5
10.0.0.13,4,500,60611.86996540001,15152.4
10.0.0.13,4,500,43064.3756745,10765.6
10.0.0.13,2,500,74639.68885579999,37319.4
10.0.0.13,2,500,51717.9000589,25858.6
10.0.0.13,2,500,34452.29902846667,17225.666666666664
10.0.0.13,2,500,24292.9014104,12146
10.0.0.13,2,500,57883.7073938,28941.3
10.0.0.13,2,500,43745.95444993333,21872.533333333333
10.0.0.13,2,500,28385.89785405,14192.4
10.0.0.13,2,500,19597.925969800002,9798.56
10.0.0.13,2,500,77201.31728546668,38600.2
10.0.0.13,2,500,32446.771019800002,16222.85
10.0.0.13,2,500,26963.05547932,13481.119999999999
10.0.0.13,2,500,20957.557104366668,10478.3
10.0.0.13,1,500,90179.1448146,90178.8
10.0.0.13,1,500,58283.183212,58282.6
10.0.0.13,1,500,33788.87401093334,33788.333333333336
10.0.0.13,1,500,25792.94223265,25792.5
10.0.0.13,1,500,74865.7546129,74865.3
10.0.0.13,1,500,41500.25203793334,41499.73333333333
10.0.0.13,1,500,37220.478419499996,37219.95
10.0.0.13,1,500,27324.815946,27324.32
10.0.0.13,1,500,66071.76771900001,66071.26666666666
10.0.0.13,1,500,48908.378316550006,48907.85
10.0.0.13,1,500,31118.022635200003,31117.559999999998
10.0.0.13,1,500,23214.3678285,23213.833333333336
